hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC004747,Std,2012-04-02,2014-02-27,695,667.0,0
MAC004829,Std,2012-04-05,2014-02-27,690,662.0,0
MAC004830,Std,2012-04-10,2014-02-27,689,661.0,0
MAC004947,Std,2012-01-21,2014-02-27,769,739.0,0
MAC004987,Std,2012-01-26,2014-02-27,764,734.0,0
MAC005203,Std,2012-02-03,2014-02-27,750,722.0,0
MAC005274,Std,2012-02-10,2012-11-21,286,274.0,1
MAC005301,Std,2012-02-15,2014-02-16,733,706.0,0
MAC005319,Std,2012-02-16,2014-02-27,743,715.0,0
MAC005345,Std,2012-02-21,2014-02-27,738,711.0,0
MAC005346,Std,2012-02-21,2014-02-27,738,708.0,0
MAC005419,Std,2012-02-29,2014-02-27,730,703.0,0
MAC000293,ToU,2012-03-02,2014-02-27,728,697.0,0
MAC001103,ToU,2012-05-08,2014-02-27,661,633.0,0
MAC001470,ToU,2012-05-21,2014-02-27,647,619.0,0
MAC001835,ToU,2012-06-07,2014-02-27,628,605.0,0
MAC002102,ToU,2012-06-16,2014-02-27,622,595.0,0
MAC002201,ToU,2012-06-25,2014-02-27,612,589.0,0
MAC002798,ToU,2012-05-10,2014-02-27,656,629.0,0
MAC002809,ToU,2012-05-10,2014-02-27,659,631.0,0
MAC003308,ToU,2012-09-24,2014-02-27,522,502.0,0
MAC004485,ToU,2011-12-19,2014-02-27,802,773.0,0
MAC005413,ToU,2012-02-28,2014-02-27,730,700.0,0
MAC000223,Std,2011-12-01,2013-02-05,433,417.0,1
MAC000245,Std,2011-12-02,2014-02-27,819,781.0,0
MAC000246,Std,2011-12-03,2014-02-27,818,787.0,0
MAC000271,Std,2011-12-05,2014-02-27,816,786.0,0
MAC000431,Std,2012-03-22,2014-02-27,707,679.0,0
MAC000596,Std,2012-04-12,2014-02-27,687,659.0,0
MAC000742,Std,2012-04-19,2014-02-27,677,654.0,0
MAC000781,Std,2012-04-20,2014-02-27,679,650.0,0
MAC000812,Std,2012-04-25,2014-02-27,672,642.0,0
MAC000858,Std,2012-04-26,2014-02-27,672,643.0,0
MAC000892,Std,2012-04-27,2014-02-27,671,643.0,0
MAC000996,Std,2012-05-02,2014-02-27,664,640.0,0
MAC001038,Std,2012-05-03,2014-02-27,663,634.0,0
MAC001083,Std,2012-05-08,2014-02-27,660,632.0,0
MAC001162,Std,2012-05-09,2014-02-03,633,607.0,0
MAC001190,Std,2012-05-11,2014-02-27,656,628.0,0
MAC001215,Std,2012-05-12,2014-02-27,655,629.0,0
MAC001216,Std,2012-05-12,2014-02-27,657,623.0,0
MAC001304,Std,2012-05-15,2014-01-07,602,580.0,0
MAC001331,Std,2012-05-17,2014-02-27,650,620.0,0
MAC001374,Std,2012-05-17,2014-02-27,650,624.0,0
MAC001438,Std,2012-05-18,2014-02-27,649,625.0,0
MAC001511,Std,2012-05-22,2014-02-27,645,614.0,0
MAC001539,Std,2012-05-22,2014-02-27,646,619.0,0
MAC001540,Std,2012-05-22,2014-02-27,647,622.0,0
MAC001617,Std,2012-05-26,2014-02-27,639,613.0,0
MAC001817,Std,2012-06-07,2014-02-27,628,602.0,0
MAC001820,Std,2012-06-07,2013-04-14,282,271.0,1
MAC001958,Std,2012-06-11,2014-02-27,625,601.0,0
