d,hhod,Std,ToU,signal,y,high,low
2013-03-15,43,0.32770856482567506,0.30732061836154173,normal,-0.06423312943459258,0.0,0.0
2013-03-15,44,0.2993900461790434,0.28471117114693056,normal,-0.050271993713444374,0.0,0.0
2013-03-15,45,0.26855334419335436,0.2612733880603952,normal,-0.02748224610310257,0.0,0.0
2013-03-15,46,0.2438805832636584,0.23484014493396774,normal,-0.03777364428150487,0.0,0.0
2013-03-15,47,0.253699837781041,0.20141326097626033,normal,-0.23079300510217138,0.0,0.0
2013-03-16,0,0.22589393227228283,0.1727574931780768,normal,-0.26817672531841086,0.0,0.0
2013-03-16,1,0.2037917728919842,0.14814103737404,normal,-0.31893397621539243,0.0,0.0
2013-03-16,2,0.18402800311445863,0.1410881016306371,normal,-0.26570340735822673,0.0,0.0
2013-03-16,3,0.1643806991089882,0.12947411471557,normal,-0.23870409892307487,0.0,0.0
2013-03-16,4,0.15790303165580818,0.12374568588472987,normal,-0.2437525816204864,0.0,0.0
2013-03-16,5,0.14846933578747545,0.12342325186487592,normal,-0.18475892340349764,0.0,0.0
2013-03-16,6,0.1407211296041536,0.12065667586847734,normal,-0.15383100465508193,0.0,0.0
2013-03-16,7,0.13737815355636232,0.11809900114162623,normal,-0.15121410285094972,0.0,0.0
2013-03-16,8,0.13565355260523235,0.11741326077594647,normal,-0.14440437344502066,0.0,0.0
2013-03-16,9,0.13665586684346506,0.11301089936933335,normal,-0.1899815761543917,0.0,0.0
2013-03-16,10,0.14020087947268592,0.1241471389530406,low,-0.12160878096076289,0.0,1.0
2013-03-16,11,0.14806618873568567,0.13811534983093268,low,-0.06957019062369052,0.0,1.0
2013-03-16,12,0.1642962278995921,0.15336239773384233,low,-0.06886733287417357,0.0,1.0
2013-03-16,13,0.17286739187603706,0.1799963669381743,low,0.04041188738708401,0.0,1.0
2013-03-16,14,0.19537190457966996,0.21818437799028917,low,0.11043553079037793,0.0,1.0
2013-03-16,15,0.22082619746349272,0.24740781153333996,low,0.11366207867085265,0.0,1.0
2013-03-16,16,0.249556815586621,0.2710544962733502,low,0.08263328687289384,0.0,1.0
2013-03-16,17,0.25595973159100976,0.2888592192766762,low,0.12091930526103534,0.0,1.0
2013-03-16,18,0.26484540637741605,0.29277384179408705,low,0.10025415636353707,0.0,1.0
2013-03-16,19,0.2750729167293617,0.29671298813438135,low,0.07572908738514905,0.0,1.0
2013-03-16,20,0.285873871942007,0.30021071743087285,low,0.04893391317922746,0.0,1.0
2013-03-16,21,0.2914290674897982,0.29599909324460766,low,0.015559751004180056,0.0,1.0
2013-03-16,22,0.2833730617385173,0.29244232506478135,low,0.03150319907652843,0.0,1.0
2013-03-16,23,0.2868287433297678,0.2933069934638566,low,0.02233449524396458,0.0,1.0
2013-03-16,24,0.2937182871097455,0.3055349686583775,low,0.03944313489965845,0.0,1.0
2013-03-16,25,0.29994954862231504,0.297347865474083,low,-0.008711571624484105,0.0,1.0
2013-03-16,26,0.28596667445178975,0.29770935550340527,low,0.040242412336838784,0.0,1.0
2013-03-16,27,0.28359870424333466,0.28429700282445053,low,0.0024592506136693615,0.0,1.0
2013-03-16,28,0.28488451775009954,0.2853669392104243,low,0.0016919608692733679,0.0,1.0
2013-03-16,29,0.2775763890477484,0.2902497726097766,low,0.044645665996058126,0.0,1.0
2013-03-16,30,0.27157662023140194,0.2762543144770141,low,0.017077560369269218,0.0,1.0
2013-03-16,31,0.2725335646607736,0.28423978211370876,low,0.04205640556984358,0.0,1.0
2013-03-16,32,0.2755796294919424,0.29019164400850656,low,0.05166492303120296,0.0,1.0
2013-03-16,33,0.2864711740270417,0.2983514975754715,low,0.04063439660453727,0.0,1.0
2013-03-16,34,0.31031828697033,0.2874623070691765,high,-0.07650675711664912,1.0,0.0
2013-03-16,35,0.33754177266594776,0.30545776586647194,high,-0.09987775039713309,1.0,0.0
2013-03-16,36,0.3658590279905453,0.32436784739089247,high,-0.12036988653549363,1.0,0.0
2013-03-16,37,0.39476087933303294,0.34919618621158105,high,-0.1226463104102935,1.0,0.0
2013-03-16,38,0.3964516204912528,0.3418192552550857,high,-0.14827191326023104,1.0,0.0
2013-03-16,39,0.376706018580929,0.33736512241089933,high,-0.1102992985546204,1.0,0.0
2013-03-16,40,0.3603453706743258,0.3199827433173603,high,-0.11879586733343683,1.0,0.0
2013-03-16,41,0.34885925940244406,0.3074604906715904,high,-0.12632197930936107,1.0,0.0
2013-03-16,42,0.3336997684507137,0.2886739329997024,high,-0.14494390024059078,1.0,0.0
2013-03-16,43,0.31747974063555295,0.28380835572095653,high,-0.11211480069578839,1.0,0.0
2013-03-16,44,0.29818263899761843,0.2651643958209179,high,-0.11735618608205955,1.0,0.0
2013-03-16,45,0.2736311647265806,0.246641234821047,high,-0.10384629528809897,1.0,0.0
2013-03-16,46,0.2471069691681807,0.24249227955149863,low,-0.018851443464382056,0.0,1.0
2013-03-16,47,0.2569907387190471,0.2211889193772248,low,-0.15002287297112704,0.0,1.0
2013-03-17,0,0.22870491432799647,0.18651044564577518,low,-0.20394534255583285,0.0,1.0
2013-03-17,1,0.2093484006021666,0.1626830157817728,low,-0.2521962336190027,0.0,1.0
2013-03-17,2,0.18774872523024708,0.14210717519956703,low,-0.27852297305861207,0.0,1.0
2013-03-17,3,0.1682157956356611,0.13308363665329206,low,-0.23426987537544686,0.0,1.0
2013-03-17,4,0.15702989591794955,0.12423614924149731,low,-0.23425202323487815,0.0,1.0
2013-03-17,5,0.14474582955151868,0.12088283386513284,low,-0.1801575433370175,0.0,1.0
2013-03-17,6,0.13956464339219543,0.1198019981289115,low,-0.15268752300561217,0.0,1.0
2013-03-17,7,0.13544763690207035,0.11756948208223629,low,-0.14155562642049868,0.0,1.0
2013-03-17,8,0.13234345314874252,0.1145013623347939,low,-0.14481374020799587,0.0,1.0
2013-03-17,9,0.13226859781150258,0.11442870129063493,low,-0.14488275413854312,0.0,1.0
2013-03-17,10,0.13494508808741537,0.11400090837223095,low,-0.16866152424296388,0.0,1.0
2013-03-17,11,0.14044138108268686,0.12437420554061951,low,-0.12149537737620486,0.0,1.0
2013-03-17,12,0.15470991664486475,0.14000090836973642,low,-0.09990294700420499,0.0,1.0
2013-03-17,13,0.16090871197619477,0.15927974580498253,low,-0.010175133962273097,0.0,1.0
2013-03-17,14,0.18380931446921517,0.17821162590343795,low,-0.030927132168096394,0.0,1.0
2013-03-17,15,0.20505701056703157,0.21012715704453183,low,0.024424816403619154,0.0,1.0
2013-03-17,16,0.23066975695376749,0.24321798363953853,low,0.05297102918617802,0.0,1.0
2013-03-17,17,0.24836315181158128,0.27120435969873613,low,0.08798063461019279,0.0,1.0
2013-03-17,18,0.2676083431145077,0.28041598565618914,low,0.04674965839552536,0.0,1.0
2013-03-17,19,0.27311981444771544,0.2892070846390199,low,0.05723240768739557,0.0,1.0
2013-03-17,20,0.28380903827958887,0.28835694815954627,low,0.015897504466758194,0.0,1.0
2013-03-17,21,0.28894668556708264,0.2973760225471544,low,0.02875521510783008,0.0,1.0
2013-03-17,22,0.29928465414899486,0.31052225293326435,low,0.03686042579582138,0.0,1.0
2013-03-17,23,0.302550637316167,0.31149409683954166,low,0.029131727743817226,0.0,1.0
2013-03-17,24,0.3057594436930648,0.3094050861340182,low,0.011852715637832967,0.0,1.0
2013-03-17,25,0.3051497102957618,0.3199400544692284,low,0.047331138854693755,0.0,1.0
2013-03-17,26,0.30951842418164965,0.32878746588887403,low,0.06039392246828146,0.0,1.0
2013-03-17,27,0.305782387121219,0.32248228894355035,low,0.05317452095891917,0.0,1.0
2013-03-17,28,0.30365028990568055,0.31274023621741065,low,0.02949625265127187,0.0,1.0
2013-03-17,29,0.30288064914082663,0.31667302526310714,low,0.044530944816629114,0.0,1.0
2013-03-17,30,0.30754728820708166,0.3146830161690431,low,0.022936976081475047,0.0,1.0
2013-03-17,31,0.31504705620461776,0.31453587665780025,low,-0.0016238675874609143,0.0,1.0
2013-03-17,32,0.3205595735175985,0.3218646683820272,low,0.004063036774495599,0.0,1.0
2013-03-17,33,0.3344640705104003,0.3111307904859971,low,-0.07231608931406641,0.0,1.0
2013-03-17,34,0.3460155309549633,0.2923960041177149,high,-0.16837459922924247,1.0,0.0
2013-03-17,35,0.36148377356714645,0.2994986377341578,high,-0.18810728511521901,1.0,0.0
2013-03-17,36,0.3918896616992118,0.3311762034734009,high,-0.16832975439800302,1.0,0.0
2013-03-17,37,0.4134592029744404,0.35781017258130166,high,-0.14455624531318578,1.0,0.0
2013-03-17,38,0.41210686122476914,0.3599609441836986,high,-0.1352871504369776,1.0,0.0
2013-03-17,39,0.397616222485342,0.34278746698418383,high,-0.14837664963720432,1.0,0.0
2013-03-17,40,0.3828634994168176,0.3408510443541119,high,-0.11623296549221906,1.0,0.0
2013-03-17,41,0.36840611962436065,0.3227020892195977,high,-0.13245634237912107,1.0,0.0
2013-03-17,42,0.3513891975951336,0.30773841994097684,high,-0.13264429801071875,1.0,0.0
2013-03-17,43,0.33228558183254353,0.2917311535077085,high,-0.1301621144192071,1.0,0.0
2013-03-17,44,0.3072104287661854,0.27996548620322476,high,-0.09286661649213523,1.0,0.0
2013-03-17,45,0.28007276915850143,0.24944232544702283,high,-0.11582173131863827,1.0,0.0
2013-03-17,46,0.23531911978328132,0.22502815617387142,low,-0.04471701655387661,0.0,1.0
2013-03-17,47,0.23862572474243834,0.2005204358505048,low,-0.17398015320775695,0.0,1.0
2013-03-18,0,0.21171425294661453,0.1683487736008432,low,-0.2291996412653583,0.0,1.0
2013-03-18,1,0.187784472902722,0.1507693007848497,low,-0.21954402530460237,0.0,1.0
2013-03-18,2,0.1725020852362637,0.12698546782265807,low,-0.30633667140639176,0.0,1.0
2013-03-18,3,0.15736167746392338,0.12110172617050408,low,-0.26191592951501863,0.0,1.0
2013-03-18,4,0.14800023163405124,0.11917075397172684,low,-0.21665646691663576,0.0,1.0
2013-03-18,5,0.14171918438194256,0.11802906440336217,low,-0.1829166222036409,0.0,1.0
2013-03-18,6,0.13897080625227434,0.11591916457002562,low,-0.18137079307627912,0.0,1.0
2013-03-18,7,0.13469942086654135,0.11258583126382836,low,-0.1793299086577318,0.0,1.0
2013-03-18,8,0.1350876015670617,0.11757856521230584,low,-0.13881671824154473,0.0,1.0
